Seance,MASI
2025-02-25,16937.67
2025-02-26,17086.65
2025-02-27,16927.28
2025-02-28,16723.79
2025-03-03,16792.12
2025-03-04,16707.3
2025-03-05,16623.95
2025-03-06,16570.88
2025-03-07,16609.78
2025-03-10,16583.26
2025-03-11,16476.44
2025-03-12,16294.13
2025-03-13,16490.0
2025-03-14,16613.7
2025-03-17,16676.3
2025-03-18,16839.13
2025-03-19,17193.01
2025-03-20,17366.13
2025-03-21,17621.4
2025-03-24,17858.9
2025-03-25,17677.83
2025-03-26,17567.95
2025-03-27,17591.12
2025-03-28,17756.02
2025-04-02,17675.36
2025-04-03,17258.37
2025-04-04,17232.49
2025-04-07,16260.3
2025-04-08,16479.06
2025-04-09,16027.71
2025-04-10,16377.53
2025-04-11,16070.49
2025-04-14,16579.84
2025-04-15,17056.95
2025-04-16,17124.13
2025-04-17,17175.48
2025-04-18,17243.69
2025-04-21,17268.91
2025-04-22,17205.43
2025-04-23,17223.88
2025-04-24,17299.38
2025-04-25,17319.69
2025-04-28,17443.27
2025-04-29,17371.8
2025-04-30,17390.38
2025-05-02,17508.82
2025-05-05,17437.22
2025-05-06,17566.6
2025-05-07,17611.85
2025-05-08,17595.84
2025-05-09,17765.3
2025-05-12,18033.08
2025-05-13,18066.76
2025-05-14,18010.21
2025-05-15,17996.73
2025-05-16,17772.15
2025-05-19,17871.76
2025-05-20,18058.21
2025-05-21,18025.57
2025-05-22,18131.6
2025-05-23,18112.39
2025-05-26,18066.7
2025-05-27,18050.2
2025-05-28,17996.58
2025-05-29,17920.91
2025-05-30,17976.11
2025-06-02,18193.2
2025-06-03,18325.68
2025-06-04,18648.49
2025-06-05,18690.36
2025-06-06,18562.47
2025-06-10,18643.33
2025-06-11,18655.9
2025-06-12,18533.85
2025-06-13,18417.52
2025-06-16,18178.61
2025-06-17,18078.62
2025-06-18,17865.27
2025-06-19,17626.43
2025-06-20,17957.33
2025-06-23,17754.25
2025-06-24,18224.19
2025-06-26,18405.66
